RA,DEC
19.8568,-26.8573
20.2614,-26.8577
20.1,-26.8577
20.1839,-26.8575
20.0522,-26.8575
20.1993,-26.8575
20.2831,-26.8574
19.9775,-26.8576
20.0036,-26.8577
20.0964,-26.8576
20.2931,-26.8575
20.2996,-26.8575
20.2028,-26.8577
20.1782,-26.8577
19.8593,-26.8577
19.9115,-26.8578
19.926,-26.8578
20.3386,-26.8576
20.2689,-26.8577
20.3059,-26.8576
20.05,-26.8583
20.2433,-26.8578
19.7571,-26.8576
19.9013,-26.8579
19.8831,-26.8578
19.8664,-26.8582
19.9552,-26.858
19.9967,-26.858
20.3389,-26.8578
19.8605,-26.8604
20.0259,-26.8581
20.1559,-26.858
20.0215,-26.8581
20.3369,-26.8589
20.2697,-26.858
19.8889,-26.858
19.7937,-26.858
19.8399,-26.8581
19.9777,-26.8584
20.1683,-26.8583
19.761,-26.8581
19.8758,-26.8583
20.0091,-26.8584
20.0862,-26.8584
19.8024,-26.8596
19.8747,-26.8584
19.773,-26.8586
19.9754,-26.8585
19.8051,-26.8584
19.9593,-26.8586
20.2467,-26.8585
20.3737,-26.8583
20.0427,-26.8587
20.225,-26.8586
20.292,-26.8588
20.2623,-26.8585
19.9674,-26.8586
20.2284,-26.8585
19.7748,-26.8584
20.1369,-26.8588
19.8364,-26.8587
20.2208,-26.8587
19.8418,-26.8587
20.2404,-26.8589
19.8818,-26.8588
19.8702,-26.8588
20.012,-26.8589
19.9084,-26.8589
19.8276,-26.859
19.9481,-26.8589
20.086,-26.859
19.8047,-26.8587
20.0967,-26.8596
20.3395,-26.8587
20.0202,-26.8593
20.3658,-26.8587
19.815,-26.8588
20.1398,-26.859
20.214,-26.8617
20.2535,-26.8595
20.1478,-26.8592
20.1552,-26.8591
20.1374,-26.8592
19.8507,-26.859
20.0445,-26.8593
19.8588,-26.8591
20.0796,-26.8593
20.0741,-26.8593
20.1283,-26.8593
19.9588,-26.8594
20.2393,-26.8594
19.8972,-26.8594
20.1614,-26.8595
20.1384,-26.8595
19.8468,-26.8594
19.8484,-26.8594
20.0356,-26.8596
20.0165,-26.8596
19.9199,-26.8661
19.8071,-26.8598
20.0315,-26.8597
19.9329,-26.8597
20.0931,-26.8598
20.2349,-26.8597
20.3577,-26.8596
20.0627,-26.8599
20.3293,-26.8596
20.0771,-26.8599
20.3662,-26.8596
19.9478,-26.86
20.0863,-26.86
20.0048,-26.86
20.216,-26.8601
19.8548,-26.86
20.3145,-26.86
19.873,-26.8601
19.9093,-26.8601
20.2614,-26.86
20.0882,-26.8603
20.0731,-26.8603
19.9608,-26.8603
20.1411,-26.8603
20.2166,-26.8603
19.8542,-26.8632
19.7737,-26.8614
20.165,-26.8642
19.7821,-26.8602
20.0706,-26.8605
20.2212,-26.8604
19.9022,-26.8604
20.0994,-26.8612
19.8566,-26.8608
20.1367,-26.8605
19.8176,-26.8614
20.0817,-26.8609
20.3487,-26.8603
20.067,-26.8606
20.1563,-26.8606
20.3103,-26.8608
20.1613,-26.8607
20.0892,-26.8608
20.2612,-26.8606
20.1939,-26.8607
20.207,-26.8606
20.0443,-26.8608
19.9704,-26.8608
19.9509,-26.8608
20.367,-26.8612
20.3289,-26.8606
20.1643,-26.8618
20.2871,-26.8607
19.9824,-26.8609
20.0714,-26.861
19.8959,-26.861
20.0952,-26.8611
20.1858,-26.8612
20.3022,-26.8608
19.7574,-26.8607
19.7688,-26.8609
20.0596,-26.8612
19.8443,-26.8612
20.3265,-26.8618
20.1869,-26.8614
20.1037,-26.8626
20.3309,-26.8619
20.033,-26.8615
20.2716,-26.8613
19.7649,-26.8612
20.1196,-26.8615
20.3355,-26.8679
19.9179,-26.8615
19.7782,-26.8613
20.1444,-26.8615
20.289,-26.8615
19.7544,-26.8613
19.8898,-26.8616
20.2366,-26.8617
20.1166,-26.8622
19.8359,-26.8616
20.1571,-26.8618
20.1633,-26.8618
20.2846,-26.8617
19.8519,-26.8617
20.099,-26.8632
20.1989,-26.8618
19.8105,-26.8617
20.2155,-26.864
20.3652,-26.8677
19.998,-26.8619
20.1087,-26.8619
20.1187,-26.8619
19.8732,-26.8619
20.0617,-26.862
19.8257,-26.8618
20.1251,-26.8638
20.3728,-26.8617
19.8487,-26.8619
19.8425,-26.862
20.3067,-26.862
20.1783,-26.8628
20.182,-26.8622
19.9663,-26.8623
19.7726,-26.862
20.0373,-26.8623
20.0966,-26.8624
20.3529,-26.8621
19.9381,-26.8625
20.0271,-26.8624
20.2656,-26.8623
20.1209,-26.8625
20.2568,-26.8629
19.8678,-26.8624
20.0852,-26.8626
19.7763,-26.8672
20.0984,-26.8626
20.2801,-26.8624
20.2246,-26.8636
20.0138,-26.8627
20.361,-26.8625
19.8222,-26.8625
19.8597,-26.8626
20.284,-26.8645
19.7558,-26.8626
20.1852,-26.8634
20.1291,-26.8629
19.9365,-26.8629
20.2903,-26.8628
19.8105,-26.8628
20.1893,-26.863
20.3327,-26.8628
20.2483,-26.8638
20.159,-26.8644
19.8299,-26.8629
19.8373,-26.8629
20.2415,-26.863
20.2,-26.863
20.3282,-26.8632
20.3733,-26.8628
20.0634,-26.8632
20.253,-26.8631
20.309,-26.863
19.9892,-26.8632
19.812,-26.863
20.0904,-26.8633
20.2642,-26.8631
19.9115,-26.8632
20.3248,-26.8631
20.1143,-26.8644
19.9795,-26.8634
19.8014,-26.8632
20.1205,-26.8634
19.8363,-26.8633
19.8335,-26.8632
20.126,-26.8635
20.3447,-26.8645
20.1113,-26.8635
20.1983,-26.8634
20.3315,-26.8632
20.0224,-26.8637
20.0146,-26.8636
20.119,-26.8636
19.8199,-26.8634
20.0537,-26.8685
19.7807,-26.8634
19.8224,-26.8635
19.9693,-26.8637
20.1543,-26.8637
20.2281,-26.8637
19.9681,-26.8639
20.0472,-26.864
19.8655,-26.8639
19.9157,-26.8639
19.9586,-26.865
19.968,-26.865
20.1105,-26.864
19.7756,-26.8637
20.242,-26.864
20.0127,-26.8641
20.3679,-26.8646
19.9854,-26.8641
20.3043,-26.864
20.0411,-26.8643
20.2885,-26.8641
19.9931,-26.8651
19.9834,-26.8644
19.9146,-26.8643
20.1579,-26.8643
19.8638,-26.8643
19.807,-26.8643
20.0947,-26.8651
19.8327,-26.8643
20.325,-26.8644
20.0107,-26.8646
20.2722,-26.8645
20.3283,-26.8644
20.2106,-26.8647
19.9711,-26.8647
19.9174,-26.8648
20.0566,-26.867
20.2198,-26.8648
20.0727,-26.8649
20.3162,-26.8647
20.0844,-26.8649
19.7592,-26.8686
20.2016,-26.865
20.219,-26.8648
20.0762,-26.865
19.8448,-26.8649
20.0022,-26.8655
20.3744,-26.8647
19.838,-26.8649
19.9876,-26.8685
20.0317,-26.8651
20.1206,-26.8651
20.2482,-26.8676
19.8148,-26.865
19.8735,-26.865
19.9455,-26.8651
20.1002,-26.8654
19.7861,-26.8649
20.2528,-26.8651
19.9371,-26.8652
19.8428,-26.8702
20.361,-26.8691
19.9977,-26.8653
20.351,-26.865
19.9968,-26.8653
20.1137,-26.8654
20.2237,-26.8717
20.02,-26.8655
20.3009,-26.8653
20.0456,-26.8655
20.1805,-26.8655
19.9494,-26.8657
20.0191,-26.8657
20.0706,-26.8657
19.9485,-26.8657
19.9569,-26.8657
19.9174,-26.8658
19.9807,-26.866
23.326,-48.976
22.92,-48.978
23.3713,-48.9782
23.4926,-48.9801
23.499,-48.9752
23.2916,-48.9761
22.9429,-48.9761
23.1783,-48.9866
23.2291,-48.9753
23.0425,-48.9751
23.5768,-48.9752
23.3589,-48.984
23.164,-48.9763
23.2783,-48.9755
23.3131,-48.9755
23.5599,-48.9758
23.2334,-48.9755
23.0052,-48.9753
23.223,-48.9756
23.2512,-48.9756
23.4232,-48.9758
23.3871,-48.9755
22.9905,-48.9753
23.1091,-48.9756
23.0242,-48.9758
23.3593,-48.9756
23.5831,-48.9752
23.4368,-48.9756
23.3566,-48.9766
23.451,-48.9757
22.9797,-48.9755
23.3617,-48.9759
23.5087,-48.9757
23.4293,-48.9758
23.2189,-48.976
23.2715,-48.9763
23.6014,-48.9755
22.8396,-48.9754
23.1139,-48.976
23.3304,-48.9789
23.4907,-48.9759
23.2209,-48.9762
23.6089,-48.9757
23.364,-48.9762
23.0592,-48.9761
22.8482,-48.9756
23.3794,-48.9762
23.5953,-48.9759
22.8238,-48.9757
22.9785,-48.976
23.0249,-48.9791
23.2366,-48.9765
23.0048,-48.9771
23.3848,-48.9764
23.5787,-48.9764
23.065,-48.9763
23.5535,-48.9768
23.4341,-48.9764
22.8951,-48.976
23.5329,-48.9772
23.594,-48.9761
22.8426,-48.9759
22.9664,-48.9762
23.3549,-48.9774
23.3174,-48.9766
22.8489,-48.9759
23.2958,-48.9767
23.3392,-48.9767
22.8573,-48.9761
23.078,-48.9767
23.1649,-48.9768
23.2461,-48.9769
23.2072,-48.9769
23.7088,-48.9761
22.9799,-48.9766
23.15,-48.9768
23.4854,-48.9767
23.307,-48.9769
22.911,-48.9766
22.9477,-48.9767
23.208,-48.9772
23.6561,-48.9764
23.276,-48.9771
22.8589,-48.9765
22.9604,-48.9768
23.6815,-48.9764
23.6753,-48.9764
23.1477,-48.9771
23.3369,-48.9772
22.9381,-48.9771
23.6918,-48.9765
23.0699,-48.9772
23.3411,-48.9773
22.8267,-48.9765
23.222,-48.9774
23.2257,-48.9774
23.1866,-48.9775
23.0385,-48.9773
23.4578,-48.9774
23.47,-48.9773
22.968,-48.9772
23.5217,-48.9773
23.0674,-48.9775
23.1326,-48.9776
23.4762,-48.9774
23.4209,-48.9776
22.8683,-48.977
23.0778,-48.9776
23.3139,-48.9778
23.0112,-48.9776
23.0655,-48.978
23.0478,-48.9777
23.1513,-48.9778
23.577,-48.9781
23.384,-48.9779
22.8215,-48.9772
22.834,-48.9772
23.2374,-48.978
22.8032,-48.9773
23.0435,-48.9787
23.4797,-48.9779
23.7026,-48.9772
23.5805,-48.9777
23.063,-48.978
23.293,-48.9847
23.304,-48.9785
22.8718,-48.9777
23.2329,-48.9782
23.0226,-48.978
23.1715,-48.9783
23.3769,-48.9782
23.4264,-48.9781
23.2982,-48.9783
23.4783,-48.9781
23.5966,-48.9779
23.0466,-48.9782
23.0981,-48.9785
23.2633,-48.9786
23.0488,-48.9784
22.7915,-48.9782
22.7964,-48.9776
23.2013,-48.9785
23.5529,-48.9782
22.9637,-48.9783
23.2387,-48.9788
23.3569,-48.9786
23.2135,-48.9787
23.3322,-48.9787
23.3669,-48.9786
22.9554,-48.9783
23.1322,-48.9786
23.0877,-48.9801
23.4415,-48.9786
23.7134,-48.9778
22.9489,-48.9784
23.2819,-48.9788
23.3536,-48.9788
22.9904,-48.9785
23.0666,-48.9787
23.1134,-48.9788
23.1499,-48.9788
22.8402,-48.9782
22.9793,-48.9786
22.8287,-48.9781
23.4481,-48.9796
